#assembly_accession,organism_name
GCA_027604085.1,Chytriomyces hyalinus
GCA_029603245.1,Rhizopogon salebrosus TDB-379
GCA_001513815.1,Ceratocystis eucalypticola
GCA_030563565.1,Saturnispora sekii
GCA_002778125.1,Dryadomyces quercivorus
GCA_000182785.1,Komagataella pastoris DSMZ 70382
GCA_030569295.1,[Candida] yuanshanica
GCA_030579215.1,Kazachstania pseudohumilis
GCA_030573155.1,[Candida] xyloterini
GCA_030558275.1,[Candida] palmyrensis
GCA_030558065.1,Geotrichum phurueaensis
GCA_009829355.1,Neofusicoccum cordaticola
GCA_009829855.1,Neofusicoccum kwambonambiense
GCA_009829365.1,Neofusicoccum umdonicola
GCA_019925105.1,Niebla homalea
GCA_000218975.1,Saccharomyces cerevisiae EC1118
GCA_026122715.1,Cladosporium colombiae
GCA_029606185.1,Paecilomyces maximus
GCA_029606265.1,Paecilomyces dactylethromorphus
GCA_001746955.1,Komagataella phaffii GS115
GCA_000145635.1,Gaeumannomyces tritici R3-111a-1
GCA_000193285.1,Magnaporthiopsis poae ATCC 64411
GCA_009289805.1,Alternaria gansuensis
GCA_030579055.1,[Candida] chanthaburiensis
GCA_030556385.1,Nakaseomyces kungkrabaensis
GCA_030566815.1,[Candida] suratensis
GCA_000149035.1,Colletotrichum graminicola M1.001
GCA_000182565.2,Spizellomyces punctatus DAOM BR117
GCA_023079535.1,Ecytonucleospora hepatopenaei
GCA_001247705.1,Ciborinia camelliae
GCA_000151455.1,Trichophyton tonsurans CBS 112818
GCA_015708445.2,Clitopilus hobsonii
GCA_944990035.1,Clitopilus passeckerianus
GCA_000300595.1,Phanerochaete carnosa HHB-10118-sp
GCA_022457055.1,[Candida] membranifaciens subsp. flavinogenes
GCA_000151595.1,Blastomyces dermatitidis ATCC 18188
GCA_000004155.2,Schizosaccharomyces cryophilus OY26
GCA_014857105.1,Fusarium oxysporum f. sp. koae
GCA_017979615.1,Fusarium oxysporum f. sp. sesami
GCA_025217005.1,Fusarium oxysporum f. sp. zingiberi
GCA_020631695.1,Trichoderma cornu-damae
GCA_003316405.1,Thelephora aurantiotincta
GCA_003708865.2,Kazachstania taianensis
GCA_000280675.1,Beauveria bassiana ARSEF 2860
GCA_000187405.1,Metarhizium acridum CQMa 102
GCA_000187425.2,Metarhizium robertsii ARSEF 23
GCA_000143105.2,Grosmannia clavigera kw1407
GCA_001641265.1,Pseudogymnoascus destructans
GCA_009193545.1,Aspergillus arachidicola
GCA_028505775.1,Aspergillus minisclerotigenes
GCA_030557965.1,[Candida] middelhoveniana
GCA_030558395.1,Clavispora reshetovae
GCA_003550305.1,Glomus cerebriforme
GCA_000184105.1,Pseudogymnoascus destructans 20631-21
GCA_014805705.1,Cucumispora dikerogammari
GCA_014461115.1,Mycena chlorophos
GCA_000151485.1,Saccharomyces cerevisiae Sigma1278b
GCA_007113905.1,Teratosphaeria zuluensis
GCA_000166995.1,Saccharomyces uvarum CLIB 533
GCA_000222805.1,Fusarium oxysporum f. sp. conglutinans Fo5176
GCA_000271705.2,Fusarium oxysporum Fo47
GCA_000271745.2,Fusarium oxysporum NRRL 32931
GCA_031834405.1,Fusarium oxysporum II5
GCA_000151355.1,Fusarium vanettenii 77-13-4
GCA_011745365.1,Cryphonectria parasitica EP155
GCA_029874175.1,Pleurotus eryngii var. elaeoselini
GCA_000151505.1,Trichophyton verrucosum HKI 0517
GCA_000151125.2,Trichophyton benhamiae CBS 112371
GCA_000827475.1,Paxillus involutus ATCC 200175
GCA_030569615.1,[Candida] rishiriensis
GCA_000354255.1,Bipolaris maydis ATCC 48331
GCA_001857865.1,Sclerotinia sclerotiorum 1980 UF-70
GCA_000498155.1,Shiraia sp. slf14
GCA_022385595.1,Xylaria palmicola
GCA_000338995.1,Bipolaris sorokiniana ND90Pr
GCA_019096155.1,Staphylotrichum longicolle
GCA_022814215.1,Lobaria immixta
GCA_000313505.1,Pachysolen tannophilus NRRL Y-2460
GCA_000344685.1,Gloeophyllum trabeum ATCC 11539
GCA_002117355.1,Postia placenta MAD-698-R-SB12
GCA_030710335.1,Chrysoporthe syzygiicola
GCA_030710355.1,Chrysoporthe zambiensis
GCA_000263375.1,Wallemia mellicola CBS 633.66
GCA_023645815.1,Seirophora villosa
GCA_000359705.1,Exserohilum turcica Et28A
GCA_010093535.1,Lindgomyces ingoldianus
GCA_000340195.1,Dothistroma septosporum NZE10
GCA_001661325.1,Lipomyces starkeyi NRRL Y-11557
GCA_030556505.1,[Candida] pseudofarinosa
GCA_018886245.1,Fusarium brachygibbosum
GCA_013618295.1,Fusarium armeniacum
GCA_030579335.1,Lachancea nothofagi
GCA_030563365.1,[Candida] xylanilytica
GCA_014839865.1,Apophysomyces ossiformis
GCA_014899045.1,Fusarium palustre
GCA_030913465.1,Colletotrichum navitas
GCA_010093805.1,Polyplosphaeria fusca
GCA_030569515.1,Barnettozyma vustinii
GCA_030558145.1,Barnettozyma sucrosica (nom. inval.)
GCA_000166175.1,Microbotryum lychnidis-dioicae p1A1 Lamole
GCA_001661255.1,Wickerhamomyces anomalus NRRL Y-366-8
GCA_000203795.1,Batrachochytrium dendrobatidis JAM81
GCA_928852645.1,Macalpinomyces mackinlayi
GCA_025617555.3,Puccinia polysora
GCA_014298035.1,Pseudocercospora fuligena
GCA_000240685.2,Mortierella alpina ATCC 32222
GCA_000697645.1,Galerina marginata CBS 339.88
GCA_000827355.1,Hebeloma cylindrosporum h7
GCA_008728235.1,Lichtheimia ramosa
GCA_029851405.1,Lichtheimia ornata
GCA_004919915.1,Hanseniaspora thailandica (nom. inval.)
GCA_014705485.1,Colletotrichum fructicola
GCA_014705105.1,Colletotrichum siamense
GCA_001890905.1,Aspergillus aculeatus ATCC 16872
GCA_013403735.1,Teratosphaeria pseudoeucalypti
GCA_010015825.1,Lophiotrema nucula
GCA_003313605.1,Tuber umbilicatum
GCA_000320565.2,Sphaerulina musiva SO2202
GCA_000271605.1,Fomitiporia mediterranea MF3/22
GCA_013623335.1,Fusarium longipes
GCA_000813385.1,Valsa mali var. pyri (nom. inval.)
GCA_000950635.1,Mrakia blollopis
GCA_000731825.1,Hypocrella siamensis
GCA_000151575.2,Epichloe festucae E2368
GCA_022702325.1,Drepanopeziza brunnea f. sp. 'multigermtubi'
GCA_000227095.3,Saitoella complicata NRRL Y-17804
GCA_030566975.1,Starmerella potacharoeniae
GCA_022836535.1,Colletotrichum spaethianum
GCA_000338975.1,Bipolaris maydis C5
GCA_021066465.1,Trichoderma asperelloides
GCA_027406305.1,Colletotrichum asianum
GCA_002554575.1,Amanita thiersii Skay4041
GCA_010405405.1,Microthyrium microscopicum
GCA_010356995.1,Trichodelitschia bisporula
GCA_001563135.1,Colletotrichum simmondsii
GCA_918268255.1,Saccharomyces arboricola
GCA_000349905.1,Volvariella volvacea V23
GCA_026725115.1,Cercospora janseana
GCA_005059885.1,Salinomyces thailandica
GCA_013248845.1,Passalora sequoiae
GCA_010015635.1,Clathrospora elynae
GCA_001879505.1,Calonectria pseudoreteaudii
GCA_001937105.1,Colletotrichum chlorophyti
GCA_015832465.1,Colletotrichum liriopes
GCA_001618715.1,Colletotrichum tofieldiae
GCA_015951145.1,Cronartium quercuum f. sp. fusiforme G11
GCA_014705275.1,Colletotrichum fioriniae
GCA_937898395.1,uncultured Psathyrellaceae
GCA_011319215.2,Scortechinia acanthostroma
GCA_026745395.1,Tympanopsis confertula
GCA_030563185.1,Saturnispora sanitii
GCA_019693315.1,Pleurotus tuber-regium
GCA_019693695.1,Colletotrichum horii
GCA_000338955.1,Baudoinia panamericana UAMH 10762
GCA_018343885.1,Hyphopichia burtonii
GCA_003856775.1,Hyphopichia pseudoburtonii
GCA_010093985.1,Cercospora zeae-maydis SCOH1-5
GCA_000271585.1,Trametes versicolor FP-101664 SS1
GCA_000265015.1,Auricularia subglabra TFB-10046 SS5
GCA_900536885.1,Peniophora sp. CBMAI 1063
GCA_000260735.1,Saccharomyces cerevisiae Kyokai no. 7
GCA_000264905.1,Stereum hirsutum FP-91666 SS1
GCA_000313815.1,Anncaliia algerae
GCA_000275845.1,Dichomitus squalens LYAD-421 SS1
GCA_000264995.1,Punctularia strigosozonata HHB-11173 SS5
GCA_002922495.1,Rhodotorula taiwanensis
GCA_000271625.1,Coniophora puteana RWD-64-598 SS2
GCA_000344635.1,Wolfiporia cocos MD-104 SS10
GCA_004123355.1,Amphirosellinia nigrospora
GCA_022453515.1,Astrocystis sublimbata
GCA_022385635.1,Xylaria scruposa
GCA_002749545.1,Xylaria striata
GCA_022578775.1,Xylaria venustula
GCA_023091675.1,Linnemannia amoeboidea
GCA_000226675.2,Zymoseptoria pseudotritici STIR04_3.11.1
GCA_007388105.1,Coniochaeta prunicola
GCA_030562885.1,[Candida] inulinophila
GCA_030563545.1,Starmerella stigmatis (nom. inval.)
GCA_000832265.1,Phlebiopsis gigantea 11061_1 CR5-6
GCA_015572025.1,Aspergillus fumigatus
GCA_030573355.1,[Candida] rhizophorensis
GCA_030567015.1,[Candida] sharkensis
GCA_911649665.1,Hymenoscyphus fraxineus
GCA_000439145.3,Rhizophagus irregularis DAOM 181602=DAOM 197198
GCA_000320585.2,Heterobasidion irregulare TC 32-1
GCA_000340765.1,Brettanomyces bruxellensis CBS 2499
GCA_000204055.1,Melampsora larici-populina 98AG31
GCA_001638945.1,Mucor lusitanicus CBS 277.49
GCA_030563905.1,[Candida] succicola
GCA_016859255.1,Diaporthe destruens
GCA_019321695.1,Diaporthe batatas
GCA_020726555.1,Boeremia exigua
GCA_022560035.1,Boeremia foveata
GCA_022609225.1,Boeremia lycopersici
GCA_026119825.1,Ascochyta pisi
GCA_026119235.1,Didymella pinodes
GCA_020272525.1,Epicoccum sorghinum
GCA_016630955.3,Didymella arachidicola
GCA_022559905.1,Didymella glomerata
GCA_004335245.1,Didymella lethalis
GCA_022609545.1,Didymella pinodella
GCA_022225945.1,Didymella pomorum
GCA_021642125.1,Nothophoma quercina
GCA_016920805.1,Stagonosporopsis cucurbitacearum
GCA_013396015.1,Fusarium mexicanum
GCA_027627275.1,Coprinellus aureogranulatus
GCA_016628085.1,Suillus occidentalis
GCA_030570415.1,Saturnispora serradocipensis
GCA_030570395.1,Saturnispora gosingensis
GCA_000225545.1,Orbilia oligospora ATCC 24927
GCA_000221225.1,Thermochaetoides thermophila DSM 1495
GCA_001672515.1,Colletotrichum higginsianum IMI 349063
GCA_002749535.1,Apophysomyces variabilis
GCA_001661235.1,Pichia membranifaciens NRRL Y-2026
GCA_001638985.2,Phycomyces blakesleeanus NRRL 1555(-)
GCA_002705745.1,Coemansia reversa NRRL 1564
GCA_000190195.1,Saccharomyces cerevisiae AWRI796
GCA_000325965.1,Saccharomyces cerevisiae Lalvin QA23
GCA_000190215.1,Saccharomyces cerevisiae Vin13
GCA_000190235.1,Saccharomyces cerevisiae VL3
GCA_000326005.1,Saccharomyces cerevisiae FostersO
GCA_000190255.1,Saccharomyces cerevisiae FostersB
GCA_000708205.1,Mixia osmundae IAM 14324
GCA_001513825.2,Chrysoporthe deuterocubensis
GCA_000827275.1,Pisolithus microcarpus 441
GCA_000827315.1,Piloderma croceum F 1598
GCA_001644535.1,Pyrenochaeta sp. DS3sAY3a
GCA_001644525.1,Stagonospora sp. SRC1lsM3a
GCA_002102555.1,Catenaria anguillulae PL171
GCA_001592465.1,Acidomyces richmondensis BFW
GCA_002786065.1,Microcyclospora pomicola
GCA_003012245.1,Microcyclospora tardicrescens
GCA_002785985.1,Microcyclosporella mali
GCA_030569075.1,[Candida] sphagnicola
GCA_001664025.1,Hanseniaspora valbyensis NRRL Y-1626
GCA_006538405.1,Hansfordia pulvinata
GCA_014706205.1,Fusarium temperatum
GCA_001661475.1,Tortispora caseinolytica NRRL Y-17796
GCA_001889945.1,Aspergillus brasiliensis CBS 101740
GCA_001890745.1,Aspergillus tubingensis CBS 134.48
GCA_004303015.1,Cladobotryum protrusum
GCA_000182805.2,Sordaria macrospora k-hell
GCA_001692895.1,Cenococcum geophilum 1.58
GCA_030568895.1,[Candida] suthepensis
GCA_030563415.1,[Candida] lundiana
GCA_030583405.1,Sugiyamaella americana
GCA_030555895.1,Sugiyamaella lignohabitans
GCA_030581435.1,Saturnispora quitensis
GCA_014805725.1,Microbotryum silenes-dioicae
GCA_001566745.1,Conidiobolus coronatus NRRL 28638
GCA_001455915.2,Samsoniella hepiali
GCA_020744225.1,Paraphoma chrysanthemicola
GCA_027946455.1,Neocucurbitaria cava
GCA_000179355.1,Kluyveromyces aestuarii ATCC 18862
GCA_021495925.1,Diplodia intermedia
GCA_001646965.1,Fonsecaea nubica
GCA_000769265.1,Hapsidospora chrysogenum ATCC 11550
GCA_003019875.1,Amorphotheca resinae ATCC 22711
GCA_001661315.1,Nadsonia fulvescens var. elongata DSM 6958
GCA_001050175.1,Trichoderma parareesei
GCA_027406065.1,Colletotrichum cordylinicola
GCA_002072455.1,Penicillium oxalicum YT02
GCA_935753355.1,uncultured Ascochyta
GCA_029281495.1,Mycena filopes
GCA_017580835.1,Termitomyces bulborhizus
GCA_000230625.1,Exophiala dermatitidis NIH/UT8656
GCA_030569015.1,Millerozyma miso
GCA_003314085.1,Hymenopellis chiangmaiae
GCA_000179415.1,Kluyveromyces wickerhamii UCD 54-210
GCA_000166005.1,Pyrenophora teres f. teres 0-1
GCA_030565165.1,Nematodospora valgi
GCA_030270915.1,Lasiodiplodia iranensis
GCA_023089105.1,Lasiodiplodia citricola
GCA_030512325.1,Lasiodiplodia hormozganensis
GCA_001664035.1,Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993
GCA_000827335.1,Pisolithus tinctorius Marx 270
GCA_019207525.1,Ogataea angusta
GCA_000187245.3,Ogataea parapolymorpha DL-1
GCA_000223505.1,Puccinia striiformis f. sp. tritici PST-130
GCA_000146465.1,Encephalitozoon intestinalis ATCC 50506
GCA_000223175.2,Claviceps paspali RRC 1481
GCA_003814445.1,Epichloe festucae Fl1
GCA_001712445.1,Cutaneotrichosporon oleaginosum
GCA_003243755.1,Pleurotus tuoliensis
GCA_000250985.1,Nematocida parisii ERTm1
GCA_029448695.1,Elsinoe perseae
GCA_928724755.1,Sporisorium exsertum
GCA_001748505.1,Sporisorium iseilematis-ciliati
GCA_928724745.1,Anthracocystis setariae
GCA_928722295.1,Ustilago curta
GCA_000147375.2,Wickerhamomyces anomalus NRRL Y-366
GCA_014904845.1,Acephala macrosclerotiorum
GCA_002000375.1,Penicillium sp. HKF2
GCA_000225645.2,Aspergillus fumigatus AF210
GCA_000269885.1,Saccharomyces cerevisiae CEN.PK113-7D
GCA_024604135.1,Cladosporium velox
GCA_023853805.1,Psilocybe mexicana
GCA_023184595.1,Umbilicaria grisea
GCA_001644785.1,Cordyceps cicadae BA-001
GCA_003313945.1,Lactifluus pinguis
GCA_023383405.1,Chaetomium cochliodes
GCA_003706635.2,Ambrosiozyma maleeae (nom. inval.)
GCA_030565105.1,Vanderwaltozyma verrucispora
GCA_030555675.1,Vanderwaltozyma tropicalis
GCA_030574855.1,Wickerhamomyces rabaulensis
GCA_030569275.1,[Candida] sanyiensis
GCA_020995425.1,Cyberlindnera sargentensis
GCA_003709245.3,Cyberlindnera saturnus
GCA_003708225.3,Cyberlindnera suaveolens
GCA_000277815.3,Encephalitozoon hellem ATCC 50504
GCA_951802405.1,Volvariella surrecta
GCA_937854695.1,uncultured Leotiomyceta
GCA_001599755.1,Gliomastix tumulicola
GCA_000448365.1,Ophiocordyceps sinensis CO18
GCA_028827645.1,Penicillium hetheringtonii
GCA_014705045.1,Colletotrichum theobromicola
GCA_027942835.1,Colletotrichum tropicale
GCA_000827325.1,Oidiodendron maius Zn
GCA_000320605.2,Gelatoporia subvermispora B
GCA_900074885.1,Rhynchosporium commune
GCA_900074905.1,Rhynchosporium agropyri
GCA_022577825.1,Wickerhamiella parazyma
GCA_030571545.1,Zygosaccharomyces gambellarensis
GCA_000226655.2,Aspergillus sojae NBRC 4239
GCA_006681795.1,Ceratocystis manginecans
GCA_014898995.1,Fusarium sibiricum
GCA_000209365.1,Saccharomyces cerevisiae T7
GCA_000192515.1,Saccharomyces cerevisiae YJM269
GCA_000192455.1,Saccharomyces cerevisiae CBS 7960
GCA_000192495.1,Saccharomyces cerevisiae CLIB324
GCA_000523435.1,Bipolaris zeicola 26-R-13
GCA_000523455.1,Bipolaris oryzae ATCC 44560
GCA_000527765.2,Bipolaris victoriae FI3
GCA_019137255.1,Corinectria fuckeliana
GCA_000697705.1,Botryobasidium botryosum FD-172 SS1
GCA_000827395.1,Paxillus rubicundulus Ve08.2h10
GCA_000827255.1,Suillus luteus UH-Slu-Lm8-n1
GCA_022985055.1,Beauveria pseudobassiana
GCA_000235365.1,Eremothecium cymbalariae DBVPG#7215
GCA_030563775.1,[Candida] loeiensis
GCA_000697665.1,Jaapia argillacea MUCL 33604
GCA_030580495.1,Kazachstania ichnusensis
GCA_030571295.1,[Candida] citri
GCA_000346795.1,Penicillium oxalicum 114-2
GCA_000383025.1,Penicillium oxalicum JU-A10-T
GCA_000827415.1,Serendipita vermifera MAFF 305830
GCA_003705305.2,Spencermartinsiella europaea
GCA_019843555.1,Simplicillium aogashimaense
GCA_003708845.3,Kazachstania intestinalis
GCA_000190615.1,Nematocida parisii ERTm3
GCA_000300575.2,Agaricus bisporus var. bisporus H97
GCA_011763695.1,Rhizopus delemar
GCA_020726575.1,Plectosphaerella plurivora
GCA_024613125.1,Pisolithus orientalis
GCA_000218725.1,Serpula lacrymans var. lacrymans S7.3
GCA_015501595.1,Hymenopellis radicata
GCA_000338015.2,Ganoderma multipileum BCRC 37180
GCA_000338035.1,Ganoderma lucidum BCRC 37177
GCA_030564005.1,Wickerhamomyces tratensis
GCA_030563805.1,[Candida] namnaoensis
GCA_019925425.1,Ophiostoma pallidulum
GCA_000827205.1,Plicaturopsis crispa FD-325 SS-3
GCA_000827265.1,Collybiopsis luxurians FD-317 M1
GCA_000827495.1,Hypholoma sublateritium FD-334 SS-4
GCA_026928455.1,Coelomomyces lativittatus
GCA_000827485.1,Amanita muscaria Koide BX008
GCA_024741835.1,Diplocarpon mali
GCA_011320215.1,Diplocarpon rosae
GCA_009805295.1,Neurospora sp. FGSC 6877
GCA_000301155.1,Blastomyces dermatitidis ATCC 18187
GCA_000209345.1,Saccharomyces cerevisiae CLIB382
GCA_000192535.1,Saccharomyces cerevisiae FL100
GCA_011393195.1,Saccharomyces cerevisiae I14
GCA_013368665.1,Saccharomyces cerevisiae NC-02
GCA_000209265.1,Saccharomyces cerevisiae PW5
GCA_000209285.1,Saccharomyces cerevisiae UC5
GCA_011393105.1,Saccharomyces cerevisiae YJM280
GCA_000975885.2,Saccharomyces cerevisiae YJM320
GCA_011393235.1,Saccharomyces cerevisiae YJM421
GCA_011393095.1,Saccharomyces cerevisiae YJM428
GCA_011393155.1,Saccharomyces cerevisiae YJM653
GCA_011393215.1,Saccharomyces cerevisiae YPS1009
GCA_018350245.1,Fusarium proliferatum
GCA_001264635.1,Malassezia cuniculi
GCA_000192795.1,Vavraia culicis subsp. floridensis
GCA_027559495.1,Aurifilum marmelostoma
GCA_003385315.1,Neonectria punicea
GCA_025201705.1,Dissophora ornata
GCA_014973025.1,Mortierella antarctica
GCA_015679585.1,Entomortierella beljakovae
GCA_015852385.1,Podila clonocystis
GCA_015852425.1,Gryganskiella cystojenkinii
GCA_015852495.1,Podila epicladia
GCA_015679605.1,Podila epigama
GCA_016097935.1,Dissophora globulifera
GCA_015680625.1,Mortierella hygrophila
GCA_015500005.1,Entomortierella lignicola
GCA_015680635.1,Lunasporangiospora selenospora
GCA_015847195.1,Linnemannia zychae
GCA_030463055.1,Scheffersomyces gosingicus (nom. inval.)
GCA_001646985.1,Fonsecaea multimorphosa
GCA_014188975.1,Tulosesus angulatus
GCA_900235035.2,Komagataella phaffii CBS 7435
GCA_022392925.1,Ophiostoma tasmaniense
GCA_030789605.1,Cordyceps cateniannulata
GCA_001899475.2,Rhizoctonia solani AG-1 IA
GCA_000225605.1,Cordyceps militaris CM01
GCA_000223645.2,Zymoseptoria tritici STIR04_A26b
GCA_003025095.1,Trichoderma harzianum CBS 226.95
GCA_003025155.1,Trichoderma longibrachiatum ATCC 18648
GCA_001661405.1,Cyberlindnera jadinii NRRL Y-1542
GCA_001661425.1,[Candida] arabinofermentans NRRL YB-2248
GCA_910592215.1,Entrophospora candida
GCA_008122225.1,Ciboria shiraiana
GCA_001661395.1,Hyphopichia burtonii NRRL Y-1933
GCA_001661335.1,Babjeviella inositovora NRRL Y-12698
GCA_001661415.1,Suhomyces tanzawaensis NRRL Y-17324
GCA_010015875.1,Fusarium haematococcum
GCA_001457915.1,Heterobasidion irregulare
GCA_003705595.2,Nadsonia fulvescens var. fulvescens NRRL Y-12810
GCA_000223625.2,Zymoseptoria tritici STIR04 A48b
GCA_000223665.2,Zymoseptoria pseudotritici STIR04_2.2.1
GCA_000223705.2,Zymoseptoria pseudotritici STIR04_5.3
GCA_000223725.2,Zymoseptoria pseudotritici STIR04_5.9.1
GCA_000223685.2,Zymoseptoria pseudotritici STIR04_4.3.1
GCA_000223785.2,Zymoseptoria ardabiliae STIR04_3.13.1
GCA_000223765.2,Zymoseptoria ardabiliae STIR04_1.1.2
GCA_000223805.2,Zymoseptoria ardabiliae STIR04_3.3.2
GCA_000223745.2,Zymoseptoria ardabiliae STIR04_1.1.1
GCA_000223825.2,Zymoseptoria passerinii SP63
GCA_000230375.1,Plenodomus lingam JN3
GCA_000221285.2,Encephalitozoon cuniculi EC1
GCA_009176405.1,Aspergillus novoparasiticus
GCA_000442015.1,Rozella allomycis CSF55
GCA_000221265.2,Encephalitozoon cuniculi EC2
GCA_000221245.2,Encephalitozoon cuniculi EC3
GCA_000827215.1,Sphaerobolus stellatus SS14
GCA_022605435.1,Apiospora rasikravindrae
GCA_019137275.1,Neonectria faginata
GCA_000231115.1,Vittaforma corneae ATCC 50505
GCA_000827185.1,Hydnomerulius pinastri MD-312
GCA_000585705.1,Fusarium virguliforme Mont-1
GCA_003990765.1,Jimgerdemannia flammicorona
GCA_935751715.1,uncultured Sordaria
GCA_937863395.1,uncultured Pseudogymnoascus
GCA_000230245.1,Sporisorium reilianum SRZ2
GCA_000292645.1,Botrytis cinerea T4
GCA_000222205.2,Rhodotorula toruloides ATCC 204091
GCA_002120325.1,Daldinia sp. EC12
GCA_002120315.1,Hypoxylon sp. CI-4A
GCA_002120335.1,Hypoxylon sp. EC38
GCA_002120305.1,Hypoxylon sp. CO27-5
GCA_028828465.1,Penicillium psychrosexuale
GCA_030247855.1,Knufia peltigerae
GCA_000230595.3,Edhazardia aedis USNM 41457
GCA_001417885.1,Kluyveromyces marxianus DMKU3-1042
GCA_003706445.3,Cyberlindnera mrakii
GCA_017948575.1,Cyberlindnera subsufficiens
GCA_019207935.1,Ogataea parapolymorpha
GCA_019395245.1,Botrytis pseudocinerea
GCA_003708535.3,Kazachstania bromeliacearum
GCA_014964245.1,Nannizziopsis barbatae
GCA_011066485.2,Verticillium dahliae VDG2
GCA_030579695.1,Starmerella kuoi
GCA_030581555.1,[Candida] argentea
GCA_000835395.1,Exophiala sideris
GCA_000328965.1,Ascocoryne sarcoides NRRL 50072
GCA_013406965.1,Calonectria fujianensis
GCA_013406985.1,Calonectria crousiana
GCA_011066465.2,Verticillium dahliae VDG1
GCA_001557505.1,Reticulascus tulasneorum
GCA_000303195.2,Fusarium pseudograminearum CS3096
GCA_000611695.1,Rhizomucor miehei CAU432
GCA_029282495.1,Mycena albidolilacea
GCA_029282135.1,Mycena belliae
GCA_000239835.2,Aspergillus luchuensis IFO 4308
GCA_029320655.1,Mycena floridula
GCA_029289555.1,Mycena latifolia
GCA_029378385.1,Mycena metata
GCA_029378255.1,Mycena rosella
GCA_029203975.1,Mycena vitilis
GCA_029204335.1,Mycena vulgaris
GCA_009193525.1,Aspergillus sergii
GCA_009193505.1,Aspergillus transmontanensis
GCA_000968835.1,Eremothecium gossypii FDAG1
GCA_000225625.2,Aspergillus fumigatus Af10
GCA_030580175.1,Diutina pseudorugosa
GCA_000389695.3,Ceratocystis fimbriata CBS 114723
GCA_000225285.2,Epichloe glyceriae E277
GCA_001890125.1,Aspergillus versicolor CBS 583.65
GCA_001890705.1,Aspergillus sydowii CBS 593.65
GCA_012184525.1,Xenoacremonium recifei
GCA_000222935.2,Aciculosporium take MAFF-241224
GCA_000223055.1,Claviceps fusiformis PRL 1980
GCA_000222915.1,Epichloe brachyelytri E4804
GCA_000827425.1,Scleroderma citrinum Foug A
GCA_000223075.2,Epichloe amarillans E57
GCA_000222895.2,Epichloe gansuensis E7080
GCA_000447185.1,Vairimorpha apis BRL 01
GCA_000222875.2,Periglandula ipomoeae IasaF13
GCA_000711695.1,Tilletiaria anomala UBC 951
GCA_030564085.1,Nakaseomyces uthaithaninus
GCA_002980515.1,Fusarium burgessii
GCA_014898885.1,Fusarium lyarnte (nom. inval.)
GCA_030579135.1,[Candida] danieliae
GCA_030674735.1,[Candida] pseudoflosculorum
GCA_030568975.1,[Candida] robnettiae
GCA_030566875.1,Wickerhamomyces chaumierensis
GCA_018344405.1,Wickerhamomyces ciferrii
GCA_003706765.3,Wickerhamomyces hampshirensis
GCA_030582155.1,Wickerhamomyces lynferdii
GCA_030563265.1,[Candida] khao-thaluensis
GCA_030569655.1,[Candida] tallmaniae
GCA_030569695.1,[Candida] vaughaniae
GCA_030581475.1,Yamadazyma akitaensis
GCA_024244235.1,Aureobasidium subglaciale
GCA_019915245.1,Fusarium musae
GCA_003025105.1,Trichoderma asperellum CBS 433.97
GCA_022814065.1,Schaereria dolodes
GCA_030583385.1,Spencermartinsiella ligniputridi
GCA_000721785.1,Aureobasidium pullulans EXF-150
GCA_000721775.1,Aureobasidium melanogenum CBS 110374
GCA_000721765.1,Aureobasidium namibiae CBS 147.97
GCA_000721755.1,Aureobasidium subglaciale EXF-2481
GCA_000956045.1,Hirsutella minnesotensis 3608
GCA_000525045.1,Drechslerella stenobrocha 248
GCA_029282285.1,Mycena rebaudengoi
GCA_003706345.1,Citeromyces hawaiiensis
GCA_000966595.1,Zymoseptoria brevis
GCA_017766805.1,Zymoseptoria tritici
GCA_010094025.1,Viridothelium virens
GCA_010583015.1,Tothia fuscella
GCA_000222955.2,Epichloe typhina E5819
GCA_002851655.1,Verticillium alfalfae
GCA_002851775.1,Verticillium isaacii
GCA_002851715.1,Verticillium klebahnii
GCA_003724135.2,Verticillium nonalfalfae
GCA_002851755.1,Verticillium zaregamsianum
GCA_003788615.2,Terfezia boudieri ATCC MYA-4762
GCA_000827465.1,Tulasnella calospora MUT 4182
GCA_001687445.1,Obba rivulosa
GCA_000411695.4,Pochonia chlamydosporia 123
GCA_027579255.1,Coemansia pectinata
GCA_027579625.1,Coemansia asiatica
GCA_021730345.1,Fusarium cicatricum
GCA_013266195.1,Fusarium zealandicum
GCA_024112705.1,Microcera coccophila
GCA_003693515.1,Pseudonectria buxi
GCA_911649645.1,Thelonectria discophora
GCA_033030565.1,Fusarium nematophilum
GCA_931305995.1,Torulaspora indica
GCA_000237345.1,Naumovozyma castellii CBS 4309
GCA_030782205.1,Beauveria asiatica
GCA_030411535.1,Beauveria australis
GCA_030772205.1,Beauveria varroae
GCA_016860325.1,Aspergillus luchuensis
GCA_000739165.1,Podila verticillata NRRL 6337
GCA_000349005.2,Pneumocystis murina B123
GCA_023601865.2,Aspergillus affinis
GCA_000227115.2,Naumovozyma dairenensis CBS 421
GCA_030568055.1,Tetrapisispora blattae
GCA_000315915.1,Tetrapisispora blattae CBS 6284
GCA_000236905.1,Tetrapisispora phaffii CBS 4417
GCA_000304475.1,Kazachstania africana CBS 2517
GCA_000348985.1,Kazachstania naganishii CBS 8797
