GRCh38,"NC_000001.11 Homo sapiens chromosome 1, GRCh38.p14 Primary Assembly"
OU702488.1,"OU702488.1 Severe acute respiratory syndrome coronavirus 2 isolate hCoV-19/Switzerland/SO-ETHZ-33750530/2021 genome assembly, chromosome: 1"
OM073183.1,"OU702488.1 Severe acute respiratory syndrome coronavirus 2 isolate hCoV-19/Switzerland/SO-ETHZ-33750530/2021 genome assembly, chromosome: 1"
OW573918.1,"OW573918.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OW055689.1,"OW055689.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
ON765621.1,"ON765621.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IN-CDC-STM-TA8QY6NYZ/2022, complete genome"
OP566334.1,"OP566334.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-6964/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
MW549836.1,"MW549836.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-2471/2020, complete genome"
DQ484396.1,"DQ484396.1 HIV-1 isolate BCCFE_HOMER_HIV_NEF330 from Canada nef protein (nef) gene, partial cds"
OY598732.1,"OY598732.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
MK301720.1,"MK301720.1 HIV-1 isolate PAT3_PBMC_112 from Canada nef protein (nef) gene, complete cds"
OP129929.2,"OP129929.2 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-220718477829/2022 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, partial cds"
KU590194.1,"KU590194.1 Influenza A virus (A/Florida/70/2015(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds"
MW540237.1,"MW540237.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-MASPHL-01312/2020, complete genome"
OV445123.2,"OV445123.2 Severe acute respiratory syndrome coronavirus 2 isolate hCoV-19/Switzerland/TG-ETHZ-35431898/2021 genome assembly, chromosome: 1"
OM218516.1,"OM218516.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-230592/2021, complete genome"
LC557703.1,"LC557703.1 Hepatitis C virus subtype 1b HJ-04-326 gene for polyprotein, partial cds"
ON538703.1,"ON538703.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NJ-CDC-LC0613407/2022 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 gene, complete sequence"
MZ712906.1,"MZ712906.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-BIE-LSUH001700/2021, complete genome"
OY281690.1,"OY281690.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
ON486643.1,"ON486643.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MEX/YUC-4_1232/2021, complete genome"
OK069693.1,"OK069693.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-FG-092462/2021 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S) and ORF3a protein (ORF3a) genes, complete cds; envelope protein (E) gene, partial cds; membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OW172641.1,"OW172641.1 Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite"
OV337481.1,"OV337481.1 Severe acute respiratory syndrome coronavirus 2 isolate hCoV-19/Switzerland/AG-ETHZ-34806300/2021 genome assembly, chromosome: 1"
OX465672.1,"OX465672.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OY143597.1,"OY143597.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
ON199796.1,"ON199796.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA-Broad-CRSP_LFDP2YB6ZKZUOITH/2022 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OP856315.2,"OP856315.2 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-221110801696/2022, complete genome"
OA964875.1,"OA964875.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
KM353751.1,"KM353751.1 HIV-1 isolate 9006_032007_CSF_9 from USA envelope glycoprotein (env) gene, complete cds"
AB082561.1,"AB082561.1 Orthohepevirus A ORF2 gene, partial cds, isolate: HE-JA5"
OL879167.1,"OL879167.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDPHE-2101948068/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), and envelope protein (E) genes, complete cds; membrane glycoprotein (M) gene, partial cds; ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 protein (ORF8) gene, partial cds; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OL490002.1,"OL490002.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-CDC-QDX30566386/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OP895602.1,"OP895602.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PER/00051aagqs/2022 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
ON344875.1,"ON344875.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-STM-PY48FPS7Z/2022, complete genome"
MW246261.1,"MW246261.1 HIV-1 strain pat00017 from Australia reverse transcriptase (pol) gene, partial cds"
OQ164992.1,"OQ164992.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-8740/2022 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), and ORF7a protein (ORF7a) genes, complete cds; ORF7b (ORF7b) and ORF8 protein (ORF8) genes, partial cds; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
KY847816.1,"KY847816.1 HIV-1 isolate YN23 from China gag protein (gag) and pol protein (pol) genes, partial cds"
OQ063555.1,"OQ063555.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-STM-FMUZCZHZQ/2022, complete genome"
OV725053.1,"OV725053.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OX452676.1,"OX452676.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OR279398.1,"OR279398.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/FRA/IHUCOVID-017654/2021 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OY488164.1,"OY488164.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OV071133.1,"OV071133.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OU724910.1,"OU724910.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OU466090.1,"OU466090.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OK441602.1,"OK441602.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/RI-CDCBI-RIDOH_HEAMOJOQHRZXFOA2/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
AF009021.1,"AF009021.1 HIV-1 isolate CM.4974 from Cameroon, gag pseudogene, partial sequence"
KY180536.1,"KY180536.1 Hepacivirus hominis strain TVC55 isolate TVC55_-23d_Variant741_freq_0.0003639 envelope protein 2 gene, partial cds"
OU979872.1,"OU979872.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OL922241.1,"OL922241.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-ASC210397065/2021, complete genome"
KU048627.1,"KU048627.1 Rotavirus A isolate Hu-wt/ITA/PA533/12/2012/G12P8 VP6 gene, complete cds"
AY313336.1,"AY313336.1 HIV-1 isolate cs124 from Brazil pol protein (pol) gene, partial cds"
OW238027.1,"OW238027.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OV799510.1,"OV799510.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OW719721.1,"OW719721.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OU982169.1,"OU982169.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OU372042.1,"OU372042.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
KT748211.1,"KT748211.1 HIV-1 isolate RenG17183 from Brazil pol protein (pol) gene, partial cds"
OV802680.1,"OV802680.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
MF456006.1,"MF456006.1 HIV-1 isolate DC1445a_0120806_PR_RT from USA pol protein (pol) and gag protein (gag) genes, partial cds"
KP336004.1,"KP336004.1 Influenza A virus (A/Thailand/CU-B7585/2013(H3N2)) segment 5 nucleocapsid protein (NP) gene, complete cds"
KT151614.1,"KT151614.1 Hepatitis B virus isolate 969, complete sequence"
OV382729.1,"OV382729.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OU604408.1,"OU604408.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OY267678.1,"OY267678.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
MZ958752.1,"MZ958752.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OSPHL02218/2021, complete genome"
ON003178.2,"ON003178.2 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-220228707282/2022, complete genome"
OY328683.1,"OY328683.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OM208777.1,OM208777.1 UNVERIFIED: HIV-1 isolate TSC-141-V2-PL7-P16 from USA genomic sequence
OW709391.1,"OW709391.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OK532647.1,"OK532647.1 HIV-1 isolate P5_GAG_SCR_43 nonfunctional gag protein (gag) gene, partial sequence; pol protein (pol) gene, partial cds; vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), and envelope glycoprotein (env) genes, complete cds; and nef protein (nef) gene, partial cds"
OP436333.1,"OP436333.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-220901172415/2022, complete genome"
OU912087.1,"OU912087.1 Severe acute respiratory syndrome coronavirus 2 isolate hCoV-19/Switzerland/ZH-ETHZ-34315541/2021 genome assembly, chromosome: 1"
AB649918.1,"AB649918.1 Influenza A virus (A/Toyama/19/2011(H1N1)) NA gene for neuraminidase, complete cds"
OL347237.1,"OL347237.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDPHE-25543734/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), and ORF7a protein (ORF7a) genes, complete cds; ORF7b (ORF7b) gene, partial cds; ORF8 gene, partial sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OV269588.1,"OV269588.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OK425781.1,"OK425781.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-LC0022171/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a gene, complete sequence; and ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OX488299.1,"OX488299.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OY560987.1,"OY560987.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OK029556.1,"OK029556.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-ASC210201989/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OK517952.1,"OK517952.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/KY-CDC-LC0313438/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; nucleocapsid phosphoprotein (N) gene, complete cds; and ORF10 protein (ORF10) gene, partial cds"
CY247474.1,"CY247474.1 Influenza B virus (B/Pennsylvania/42/2017) polymerase PB1 (PB1) gene, complete cds"
OX564204.1,"OX564204.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OU830152.1,"OU830152.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OU106058.1,"OU106058.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
CY071316.1,"CY071316.1 Influenza A virus (A/Athens/INS420/2010(H1N1)) segment 3, complete sequence"
OW109456.1,"OW109456.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
MW944363.1,"MW944363.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-STM-000031974/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OL305185.1,"OL305185.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-QDX27870678/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
MN303152.1,"MN303152.1 Influenza A virus (A/Basel/USB002923.3/2017(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
MK839029.1,"MK839029.1 Coxsackievirus A6 isolate 2817_WZH_GX_CHN_2017 VP1 gene, partial cds"
KY470896.1,"KY470896.1 Hepatitis B virus isolate 24-B9, complete genome"
MF466133.1,"MF466133.1 HIV-1 isolate 1090_V02_3(2348-reads) from Brazil envelope glycoprotein (env) gene, partial cds"
OM674243.1,"OM674243.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TN-CDC-ASC210687819/2022 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), and surface glycoprotein (S) genes, complete cds; ORF3a gene, complete sequence; and envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OK236444.1,"OK236444.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDPHE-21468790/2021 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S) gene, complete cds; ORF3a protein (ORF3a) and membrane glycoprotein (M) genes, partial cds; ORF6 protein (ORF6) gene, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
GQ473084.1,"GQ473084.1 HIV-1 isolate 47_116 from USA tat protein (tat) gene, partial cds"
ON763934.1,"ON763934.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-PV64655/2022, complete genome"
OU171662.2,"OU171662.2 Severe acute respiratory syndrome coronavirus 2 isolate hCoV-19/Switzerland/BS-ETHZ-560346/2021 genome assembly, chromosome: 1"
OQ077279.1,"OQ077279.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NM-UNM-ED_4010/2022, complete genome"
OX165958.1,"OX165958.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OW159384.1,"OW159384.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OU902201.1,"OU902201.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OV199200.1,"OV199200.1 Severe acute respiratory syndrome coronavirus 2 isolate hCoV-19/Switzerland/GE-HUG-36135683/2021 genome assembly, chromosome: 1"
OX687505.1,"OX687505.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OY701680.1,"OY701680.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OL834983.1,"OL834983.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-CDC-LC0397583/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 protein (ORF10) gene, partial cds"
OP227452.1,"OP227452.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-CDC-QDX39414032/2022, complete genome"
LC172435.1,"LC172435.1 Human rotavirus A VP7 gene for outer capsid protein VP7, complete cds, segment: 9, strain: RVA/Human/JPN/YM048/2013/G9P[8]"
ON439706.1,"ON439706.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/FRA/IHUCOVID-026937_Nova1/2021, complete genome"
OV907055.1,"OV907055.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
CY246998.1,"CY246998.1 Influenza A virus (A/Hawaii/42/2017(H3N2)) hemagglutinin (HA) gene, complete cds"
OX356992.1,"OX356992.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OX695547.1,"OX695547.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OP415112.1,"OP415112.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-12621/2022, complete genome"
OY442787.1,"OY442787.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OP159630.1,"OP159630.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/LAO/LOMWRU-0310/2022 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
JX148828.1,"JX148828.1 HIV-1 isolate BCCFE_HOMER_VPU_6266 from Canada vpu protein (vpu) gene, partial cds"
CY117948.1,"CY117948.1 Influenza A virus (A/Malaysia/24083/2003(mixed)) polymerase PA (PA) gene, complete cds"
OY500714.1,"OY500714.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OP166040.1,"OP166040.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-CDC-LC0803809/2022, complete genome"
ON433275.1,"ON433275.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/FRA/IHUCOVID-049090_Nova1/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OU344266.1,"OU344266.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OD910399.1,"OD910399.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OM628554.1,"OM628554.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY-CDC-LC0510951/2022 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 protein (ORF10) gene, partial cds"
OQ664219.1,"OQ664219.1 Influenza A virus (A/Tennessee/62/2022(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
OM110835.1,"OM110835.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-2000003758/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), and envelope protein (E) genes, complete cds; membrane glycoprotein (M) gene, partial cds; and ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
KY044994.1,"KY044994.1 Influenza A virus (A/Hawaii/08/2016(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds"
OA994768.1,"OA994768.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OU961070.1,"OU961070.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OV061934.1,"OV061934.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OX905081.1,"OX905081.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
MZ994136.1,"MZ994136.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/AZ-CDC-LC0189546/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) gene, complete cds"
MN648268.1,"MN648268.1 Human bocavirus strain Hu/BoV-1/BRA/2017/SC_LVCA28168 VP1 and VP2 genes, partial cds"
OV145330.1,"OV145330.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
KF470056.1,"KF470056.1 HIV-1 isolate PID_27_9 from USA nonfunctional pol protein (pol) gene, partial sequence; and gag protein (gag) gene, partial cds"
OX693967.1,"OX693967.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OY733318.1,"OY733318.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OP706638.1,"OP706638.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OH-CDC-LC0912302/2022, complete genome"
MH054807.1,"MH054807.1 HIV-1 isolate 17KJin4-15571/15572 from South Korea pol protein (pol) gene, partial cds"
KY036714.1,"KY036714.1 HIV-1 isolate 1265 from USA pol protein (pol) gene, partial cds"
MZ401645.1,"MZ401645.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-CDC-IBX238776370217/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), and surface glycoprotein (S) genes, partial cds; and ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
DQ974932.1,"DQ974932.1 HIV-1 isolate 92124PL1 from Czech Republic pol protein (pol) gene, partial cds"
